trip_id,date,avg_temp_c
t001,2022-02-13,2
t002,2022-02-13,2
t003,2022-02-19,2
t004,2022-03-17,5
t005,2022-04-15,10
t006,2022-04-20,10
t007,2022-04-23,10
t008,2022-05-21,15
t009,2022-05-26,15
t010,2022-05-26,14.5
t011,2022-05-29,15
t012,2022-07-03,20
t013,2022-07-17,19.5
t014,2022-07-17,22
t015,2022-07-18,22
t016,2022-07-18,22
t017,2022-07-24,19.5
t018,2022-07-24,20
t019,2022-08-02,19
t020,2022-08-02,21.5
t021,2022-08-07,22
t022,2022-08-14,22
t023,2022-08-14,21.5
t024,2022-05-22,15
